metNames,HMDBcode
CE(20:2;0),HMDB0006734
CE(20:4;0),HMDB0290203
PC(16:0;0-20:4;0),HMDB0007982
PC(18:0;0-20:4;0),HMDB0008048
LPC(20:4;0),HMDB0010395
CE(20:5;0),HMDB0290236
TAG(56:6;0),HMDB0050003
PC(16:0;0-18:2;0),HMDB0007973
PC(16:0;0-20:5;0),HMDB0285961
PC(16:0;0-22:4;0),HMDB0007988
PC(16:0;0-22:5;0),HMDB0011228
PC(16:1;0-18:2;0),HMDB0008006
PC(17:0;0-20:4;0),HMDB0286115
PC(18:0;0-20:2;0),HMDB0008045
PC(18:0;0-20:5;0),HMDB0008050
PC(18:0;0-22:5;0),HMDB0008055
PC(18:1;0-18:2;0),HMDB0008105
PC(18:1;0-20:4;0),HMDB0286327
PCO(16:0;0-20:4;0),HMDB0013407
PCO(18:0;0-20:4;0),HMDB0013420
PCO(18:1;0-18:2;0),HMDB0013429
PCO(18:1;0-20:4;0),HMDB0013432
PI(18:0;0-18:2;0),HMDB0009809
PI(18:0;0-20:3;0),HMDB0009813
PI(18:0;0-20:4;0),HMDB0009815
PE(18:0;0-18:2;0),HMDB0008994
LPE(20:4;0),HMDB0011518
LPE(18:2;0),HMDB0011507
LPC(14:0;0),HMDB0010379
SM(32:1;2),HMDB0012097
SM(34:0;2),HMDB0010168
SM(38:1;2),HMDB0012102
PE(18:0;0-20:4;0),HMDB0009003
LPC(16:0;0),HMDB0010382
SM(42:2;2),HMDB0240635
SM(40:1;2),HMDB0012092
SM(38:2;2),HMDB0240610
SM(36:1;2),HMDB0012089
CER(40:2;2),HMDB0011775
,
